categories,productos,coto_id,name,price,unit_price
Alimentos Secos,Mermeladas Y Dulces,58949,Dulce De Frutilla Diet DULCE MASSEUBE Fra 260 Grm,71.69,Precio por 1 Kilo : $275.73
Alimentos Secos,Mermeladas Y Dulces,269007,Dulce De Frutilla Patagonia Berries Fra 350 Grm,90.95,Precio por 1 Kilo : $259.85
Alimentos Secos,Mermeladas Y Dulces,39529,Dulce De Mosqueta CABAÑA MICO Fra 454 Grm,72.75,Precio por 1 Kilo : $160.24
Otros,Pilas Y Accesorios,110843,Bateria Fotogr. Zinc Air A23 X 2und. -922400 - .,18.09,
Otros,Pilas Y Accesorios,253733,Pilas Recargables RAYOVAC Pl715 2 Aa,119,
Otros,Pilas Y Accesorios,253735,Pilas Recargables RAYOVAC Pl724 Platinum Grade 2 Aaa,119,
Alimentos Secos,Galletitas,249709,Galleta Arroz Integral S/Sal Dos Hermanos Bol 100 Grm,18.75,Precio por 1 Kilo : $187.50
Alimentos Secos,Galletitas,163519,Galleta C/Gluten TIA MARUCA Bsa 180 Grm,18.09,Precio por 1 Kilo : $100.50
Alimentos Secos,Galletitas,238083,Galleta De Cereal Gall Multicere GRANDIET Bsa 100 Grm,14.07,Precio por 1 Kilo : $140.70
Alimentos Secos,Galletitas,163564,Galleta Light TIA MARUCA Bsa 180 Grm,18.09,Precio por 1 Kilo : $100.50
Alimentos Secos,Galletitas,283554,Galleta Marinera Bizantina Mate Bsa 180 Grm,21.19,Precio por 1 Kilo : $117.72
Alimentos Secos,Galletitas,262553,Galleta Marinera LA BIZANTINA Avena Y Girasol Paq 180 Grm,25.95,Precio por 1 Kilo : $144.16
